datetime,macroarea,plant_type,prevailing_fuel,available_capacity_mw
2026-06-30 23:00:00,Nord,ALTRO,ALTRO,375.0
2026-06-30 23:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,679.9
2026-06-30 23:00:00,Sud_Isole,IDROELETTRICO,ALTRO,2092.4
2026-06-30 23:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,16787.8
2026-06-30 23:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,639.0
2026-06-30 23:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-30 23:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,540.0
2026-06-30 23:00:00,Nord,IDROELETTRICO,ALTRO,6072.9
2026-06-30 23:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12492.146
2026-06-30 23:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,708.501
2026-06-30 23:00:00,Sud_Isole,ALTRO,ALTRO,386.82
2026-06-30 23:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-30 22:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-30 22:00:00,Sud_Isole,IDROELETTRICO,ALTRO,2092.4
2026-06-30 22:00:00,Sud_Isole,ALTRO,ALTRO,386.82
2026-06-30 22:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12457.446
2026-06-30 22:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,672.7
2026-06-30 22:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,540.0
2026-06-30 22:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,579.0
2026-06-30 22:00:00,Nord,ALTRO,ALTRO,379.06
2026-06-30 22:00:00,Nord,IDROELETTRICO,ALTRO,6085.0
2026-06-30 22:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,16699.3
2026-06-30 22:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,708.501
2026-06-30 22:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-30 21:00:00,Nord,ALTRO,ALTRO,379.06
2026-06-30 21:00:00,Sud_Isole,IDROELETTRICO,ALTRO,2164.4
2026-06-30 21:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,707.501
2026-06-30 21:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-30 21:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,540.0
2026-06-30 21:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-30 21:00:00,Nord,IDROELETTRICO,ALTRO,6091.0
2026-06-30 21:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12371.469
2026-06-30 21:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,662.5
2026-06-30 21:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,16594.8
2026-06-30 21:00:00,Sud_Isole,ALTRO,ALTRO,386.82
2026-06-30 21:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,579.0
2026-06-30 20:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,609.0
2026-06-30 20:00:00,Sud_Isole,ALTRO,ALTRO,386.82
2026-06-30 20:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,646.0
2026-06-30 20:00:00,Nord,IDROELETTRICO,ALTRO,6101.1
2026-06-30 20:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-30 20:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,540.0
2026-06-30 20:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-30 20:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12288.15
2026-06-30 20:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,705.501
2026-06-30 20:00:00,Sud_Isole,IDROELETTRICO,ALTRO,2412.4
2026-06-30 20:00:00,Nord,ALTRO,ALTRO,379.06
2026-06-30 20:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,16466.8
2026-06-30 19:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12202.253
2026-06-30 19:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,540.0
2026-06-30 19:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,704.501
2026-06-30 19:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-30 19:00:00,Sud_Isole,ALTRO,ALTRO,386.82
2026-06-30 19:00:00,Nord,IDROELETTRICO,ALTRO,6107.9
2026-06-30 19:00:00,Sud_Isole,IDROELETTRICO,ALTRO,2412.4
2026-06-30 19:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,16365.0
2026-06-30 19:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,609.0
2026-06-30 19:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-30 19:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,626.8
2026-06-30 19:00:00,Nord,ALTRO,ALTRO,379.06
2026-06-30 18:00:00,Nord,TERMICO TRADIZIONALE,GAS NATURALE,102.0
2026-06-30 18:00:00,Nord,ALTRO,ALTRO,379.06
2026-06-30 18:00:00,Sud_Isole,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,578.0
2026-06-30 18:00:00,Sud_Isole,TERMICO TURBOGAS,ALTRO,540.0
2026-06-30 18:00:00,Nord,TERMICO CICLO COMBINATO,GAS NATURALE,16293.6
2026-06-30 18:00:00,Nord,IDROELETTRICO,ALTRO,6084.5
2026-06-30 18:00:00,Sud_Isole,TERMICO CICLO COMBINATO,GAS NATURALE,12130.961
2026-06-30 18:00:00,Sud_Isole,TERMICO TRADIZIONALE,CARBONE,609.0
2026-06-30 18:00:00,Sud_Isole,IDROELETTRICO,ALTRO,2319.4
2026-06-30 18:00:00,Sud_Isole,ALTRO,ALTRO,386.82
2026-06-30 18:00:00,Sud_Isole,TERMICO CICLO COMBINATO,ALTRO,611.0
2026-06-30 18:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,703.501
2026-06-30 17:00:00,Sud_Isole,TERMICO TURBOGAS,GAS NATURALE,702.501
2026-06-30 17:00:00,Sud_Isole,ALTRO,ALTRO,386.82
