datetime,total_load_mw,forecast_total_load_mw,bidding_zone
2026-06-30 23:45:00,1092.211,1033.861,Calabria
2026-06-30 23:45:00,3098.644,2933.104,Centre-North
2026-06-30 23:45:00,6529.305,6180.487,Centre-South
2026-06-30 23:45:00,23507.163,22251.33,North
2026-06-30 23:45:00,1175.769,1112.955,Sardinia
2026-06-30 23:45:00,2530.147,2394.978,Sicily
2026-06-30 23:45:00,2479.762,2347.285,South
2026-06-30 23:45:00,40413.001,38254.0,Italy
2026-06-30 23:30:00,41557.001,39793.001,Italy
2026-06-30 23:30:00,1118.628,1071.145,Calabria
2026-06-30 23:30:00,3175.385,3040.597,Centre-North
2026-06-30 23:30:00,6670.701,6387.545,Centre-South
2026-06-30 23:30:00,24281.25,23250.566,North
2026-06-30 23:30:00,1204.342,1153.221,Sardinia
2026-06-30 23:30:00,2532.396,2424.901,South
2026-06-30 23:30:00,2574.299,2465.026,Sicily
2026-06-30 23:15:00,2624.62,2508.414,South
2026-06-30 23:15:00,2671.223,2552.954,Sicily
2026-06-30 23:15:00,1248.048,1192.79,Sardinia
2026-06-30 23:15:00,24860.262,23759.566,North
2026-06-30 23:15:00,6914.414,6608.276,Centre-South
2026-06-30 23:15:00,3290.383,3144.701,Centre-North
2026-06-30 23:15:00,1101.049,1052.3,Calabria
2026-06-30 23:15:00,42709.999,40819.001,Italy
2026-06-30 23:00:00,2771.936,2651.513,South
2026-06-30 23:00:00,2740.037,2621.0,Sicily
2026-06-30 23:00:00,1269.133,1213.997,Sardinia
2026-06-30 23:00:00,25391.912,24288.798,North
2026-06-30 23:00:00,7117.257,6808.059,Centre-South
2026-06-30 23:00:00,3355.195,3209.434,Centre-North
2026-06-30 23:00:00,1135.53,1086.199,Calabria
2026-06-30 23:00:00,43781.0,41879.0,Italy
2026-06-30 22:45:00,1188.379,1134.096,Calabria
2026-06-30 22:45:00,3468.928,3310.472,Centre-North
2026-06-30 22:45:00,7348.4,7012.736,Centre-South
2026-06-30 22:45:00,26074.833,24883.774,North
2026-06-30 22:45:00,1305.944,1246.29,Sardinia
2026-06-30 22:45:00,2791.973,2664.44,Sicily
2026-06-30 22:45:00,2875.542,2744.192,South
