datetime,macroarea,macrouser,plant_type,prevailing_fuel,forecast_capacity_mw
2026-06-30 23:00:00,Sud_Isole,A2A,TERMICO TRADIZIONALE,DERIVATI DEL PETROLIO,639.055602
2026-06-30 23:00:00,Sud_Isole,ENEL,IDROELETTRICO,ALTRO,2596.643
2026-06-30 23:00:00,Sud_Isole,ENEL,ALTRO,ALTRO,635.53
2026-06-30 23:00:00,Nord,ENEL,TERMICO CICLO COMBINATO,GAS NATURALE,2684.718269
2026-06-30 23:00:00,Sud_Isole,ENEL,TERMICO TURBOGAS,GAS NATURALE,612.5
2026-06-30 23:00:00,Sud_Isole,EP,TERMICO TURBOGAS,GAS NATURALE,98.320444
2026-06-30 23:00:00,Nord,EDF,IDROELETTRICO,ALTRO,457.1
2026-06-30 23:00:00,Sud_Isole,ENEL,TERMICO TRADIZIONALE,CARBONE,405.844774
2026-06-30 23:00:00,Nord,A2A,TERMICO TRADIZIONALE,GAS NATURALE,110.0
2026-06-30 23:00:00,Nord,ALTRO,TERMICO CICLO COMBINATO,GAS NATURALE,6788.202828
2026-06-30 23:00:00,Sud_Isole,EDF,TERMICO CICLO COMBINATO,ALTRO,754.97
2026-06-30 23:00:00,Nord,EP,TERMICO CICLO COMBINATO,GAS NATURALE,2768.629527
2026-06-30 23:00:00,Sud_Isole,EDF,TERMICO CICLO COMBINATO,GAS NATURALE,2148.043079
2026-06-30 23:00:00,Sud_Isole,EDF,ALTRO,ALTRO,130.4
2026-06-30 23:00:00,Sud_Isole,EP,TERMICO CICLO COMBINATO,GAS NATURALE,691.560689
2026-06-30 23:00:00,Sud_Isole,ALTRO,TERMICO TRADIZIONALE,CARBONE,262.212066
2026-06-30 23:00:00,Nord,A2A,IDROELETTRICO,ALTRO,1237.0
2026-06-30 23:00:00,Sud_Isole,ALTRO,TERMICO TURBOGAS,GAS NATURALE,267.427402
2026-06-30 23:00:00,Nord,EDF,TERMICO CICLO COMBINATO,GAS NATURALE,1670.948251
2026-06-30 23:00:00,Nord,ENEL,IDROELETTRICO,ALTRO,3923.24
2026-06-30 23:00:00,Sud_Isole,ALTRO,ALTRO,ALTRO,602.3
2026-06-30 23:00:00,Sud_Isole,ALTRO,TERMICO CICLO COMBINATO,ALTRO,598.993695
2026-06-30 23:00:00,Nord,ENEL,ALTRO,ALTRO,394.0
2026-06-30 23:00:00,Sud_Isole,A2A,IDROELETTRICO,ALTRO,395.0
