datetime,actual_generation_mw,primary_source
2026-06-30 23:45:00,27.36,Thermal
2026-06-30 23:45:00,1.32,Wind
2026-06-30 23:45:00,0.56,Geothermal
2026-06-30 23:45:00,0.0,Photovoltaic
2026-06-30 23:45:00,2.112,Self-consumption
2026-06-30 23:45:00,6.08,Hydro
2026-06-30 23:30:00,28.4,Thermal
2026-06-30 23:30:00,1.4,Wind
2026-06-30 23:30:00,0.56,Geothermal
2026-06-30 23:30:00,0.0,Photovoltaic
2026-06-30 23:30:00,2.248,Self-consumption
2026-06-30 23:30:00,6.16,Hydro
2026-06-30 23:15:00,2.328,Self-consumption
2026-06-30 23:15:00,0.0,Photovoltaic
2026-06-30 23:15:00,0.56,Geothermal
2026-06-30 23:15:00,1.48,Wind
2026-06-30 23:15:00,29.0,Thermal
2026-06-30 23:15:00,6.2,Hydro
2026-06-30 23:00:00,2.504,Self-consumption
2026-06-30 23:00:00,0.0,Photovoltaic
2026-06-30 23:00:00,0.56,Geothermal
2026-06-30 23:00:00,1.48,Wind
2026-06-30 23:00:00,29.76,Thermal
2026-06-30 23:00:00,6.64,Hydro
2026-06-30 22:45:00,29.84,Thermal
2026-06-30 22:45:00,1.68,Wind
2026-06-30 22:45:00,0.56,Geothermal
2026-06-30 22:45:00,0.0,Photovoltaic
2026-06-30 22:45:00,2.852,Self-consumption
2026-06-30 22:45:00,7.88,Hydro
2026-06-30 22:30:00,30.28,Thermal
2026-06-30 22:30:00,1.88,Wind
2026-06-30 22:30:00,0.56,Geothermal
2026-06-30 22:30:00,0.0,Photovoltaic
2026-06-30 22:30:00,3.004,Self-consumption
2026-06-30 22:30:00,8.52,Hydro
2026-06-30 22:15:00,3.072,Self-consumption
2026-06-30 22:15:00,0.0,Photovoltaic
2026-06-30 22:15:00,0.56,Geothermal
2026-06-30 22:15:00,2.28,Wind
2026-06-30 22:15:00,30.08,Thermal
2026-06-30 22:15:00,8.2,Hydro
2026-06-30 22:00:00,3.136,Self-consumption
2026-06-30 22:00:00,0.0,Photovoltaic
2026-06-30 22:00:00,0.56,Geothermal
2026-06-30 22:00:00,2.64,Wind
2026-06-30 22:00:00,30.16,Thermal
2026-06-30 22:00:00,8.32,Hydro
2026-06-30 21:45:00,29.96,Thermal
2026-06-30 21:45:00,2.84,Wind
2026-06-30 21:45:00,0.56,Geothermal
2026-06-30 21:45:00,0.0,Photovoltaic
2026-06-30 21:45:00,3.0,Self-consumption
2026-06-30 21:45:00,8.56,Hydro
2026-06-30 21:30:00,30.28,Thermal
2026-06-30 21:30:00,2.8,Wind
2026-06-30 21:30:00,0.56,Geothermal
2026-06-30 21:30:00,0.0,Photovoltaic
2026-06-30 21:30:00,3.112,Self-consumption
2026-06-30 21:30:00,9.24,Hydro
2026-06-30 21:15:00,3.236,Self-consumption
2026-06-30 21:15:00,0.0,Photovoltaic
2026-06-30 21:15:00,0.56,Geothermal
2026-06-30 21:15:00,2.6,Wind
2026-06-30 21:15:00,30.16,Thermal
2026-06-30 21:15:00,9.36,Hydro
2026-06-30 21:00:00,3.264,Self-consumption
2026-06-30 21:00:00,0.0,Photovoltaic
2026-06-30 21:00:00,0.56,Geothermal
2026-06-30 21:00:00,2.36,Wind
2026-06-30 21:00:00,30.48,Thermal
2026-06-30 21:00:00,9.6,Hydro
2026-06-30 20:45:00,9.72,Hydro
2026-06-30 20:45:00,3.16,Self-consumption
2026-06-30 20:45:00,0.0,Photovoltaic
2026-06-30 20:45:00,0.56,Geothermal
2026-06-30 20:45:00,30.64,Thermal
2026-06-30 20:45:00,2.2,Wind
2026-06-30 20:30:00,9.76,Hydro
2026-06-30 20:30:00,3.256,Self-consumption
2026-06-30 20:30:00,2.12,Wind
2026-06-30 20:30:00,0.56,Geothermal
2026-06-30 20:30:00,0.08,Photovoltaic
2026-06-30 20:30:00,30.52,Thermal
2026-06-30 20:15:00,2.12,Wind
2026-06-30 20:15:00,9.76,Hydro
2026-06-30 20:15:00,3.316,Self-consumption
2026-06-30 20:15:00,0.28,Photovoltaic
2026-06-30 20:15:00,0.56,Geothermal
2026-06-30 20:15:00,30.36,Thermal
2026-06-30 20:00:00,30.4,Thermal
2026-06-30 20:00:00,2.08,Wind
2026-06-30 20:00:00,9.92,Hydro
2026-06-30 20:00:00,3.392,Self-consumption
2026-06-30 20:00:00,0.56,Photovoltaic
2026-06-30 20:00:00,0.56,Geothermal
2026-06-30 19:45:00,30.28,Thermal
2026-06-30 19:45:00,1.88,Wind
2026-06-30 19:45:00,0.56,Geothermal
2026-06-30 19:45:00,0.92,Photovoltaic
2026-06-30 19:45:00,3.608,Self-consumption
2026-06-30 19:45:00,10.08,Hydro
2026-06-30 19:30:00,30.08,Thermal
2026-06-30 19:30:00,1.8,Wind
2026-06-30 19:30:00,0.56,Geothermal
2026-06-30 19:30:00,1.4,Photovoltaic
2026-06-30 19:30:00,3.8,Self-consumption
2026-06-30 19:30:00,9.96,Hydro
2026-06-30 19:15:00,4.0,Self-consumption
2026-06-30 19:15:00,2.08,Photovoltaic
2026-06-30 19:15:00,0.56,Geothermal
2026-06-30 19:15:00,1.72,Wind
2026-06-30 19:15:00,29.8,Thermal
2026-06-30 19:15:00,9.64,Hydro
2026-06-30 19:00:00,4.216,Self-consumption
2026-06-30 19:00:00,2.8,Photovoltaic
2026-06-30 19:00:00,0.56,Geothermal
2026-06-30 19:00:00,1.76,Wind
2026-06-30 19:00:00,29.72,Thermal
2026-06-30 19:00:00,9.28,Hydro
2026-06-30 18:45:00,28.76,Thermal
2026-06-30 18:45:00,1.76,Wind
2026-06-30 18:45:00,0.56,Geothermal
2026-06-30 18:45:00,3.44,Photovoltaic
2026-06-30 18:45:00,4.556,Self-consumption
2026-06-30 18:45:00,8.48,Hydro
2026-06-30 18:30:00,28.68,Thermal
2026-06-30 18:30:00,1.8,Wind
2026-06-30 18:30:00,0.56,Geothermal
2026-06-30 18:30:00,4.24,Photovoltaic
2026-06-30 18:30:00,4.768,Self-consumption
2026-06-30 18:30:00,7.96,Hydro
2026-06-30 18:15:00,5.092,Self-consumption
2026-06-30 18:15:00,5.12,Photovoltaic
2026-06-30 18:15:00,0.56,Geothermal
2026-06-30 18:15:00,1.8,Wind
2026-06-30 18:15:00,28.28,Thermal
2026-06-30 18:15:00,7.4,Hydro
2026-06-30 18:00:00,5.412,Self-consumption
2026-06-30 18:00:00,5.92,Photovoltaic
2026-06-30 18:00:00,0.56,Geothermal
2026-06-30 18:00:00,1.68,Wind
2026-06-30 18:00:00,27.64,Thermal
2026-06-30 18:00:00,7.36,Hydro
2026-06-30 17:45:00,5.792,Self-consumption
2026-06-30 17:45:00,6.76,Photovoltaic
2026-06-30 17:45:00,6.16,Hydro
2026-06-30 17:45:00,0.56,Geothermal
2026-06-30 17:45:00,1.72,Wind
2026-06-30 17:45:00,27.48,Thermal
2026-06-30 17:30:00,0.56,Geothermal
2026-06-30 17:30:00,1.8,Wind
2026-06-30 17:30:00,27.16,Thermal
2026-06-30 17:30:00,6.108,Self-consumption
2026-06-30 17:30:00,5.56,Hydro
2026-06-30 17:30:00,7.6,Photovoltaic
2026-06-30 17:15:00,5.2,Hydro
2026-06-30 17:15:00,6.404,Self-consumption
2026-06-30 17:15:00,26.44,Thermal
2026-06-30 17:15:00,1.84,Wind
2026-06-30 17:15:00,0.56,Geothermal
2026-06-30 17:15:00,8.4,Photovoltaic
2026-06-30 17:00:00,1.92,Wind
2026-06-30 17:00:00,0.56,Geothermal
2026-06-30 17:00:00,9.24,Photovoltaic
2026-06-30 17:00:00,26.04,Thermal
2026-06-30 17:00:00,6.784,Self-consumption
2026-06-30 17:00:00,5.2,Hydro
2026-06-30 16:45:00,25.88,Thermal
2026-06-30 16:45:00,1.96,Wind
2026-06-30 16:45:00,0.56,Geothermal
2026-06-30 16:45:00,10.2,Photovoltaic
2026-06-30 16:45:00,7.272,Self-consumption
2026-06-30 16:45:00,5.0,Hydro
2026-06-30 16:30:00,25.04,Thermal
2026-06-30 16:30:00,2.0,Wind
2026-06-30 16:30:00,0.56,Geothermal
2026-06-30 16:30:00,10.8,Photovoltaic
2026-06-30 16:30:00,7.616,Self-consumption
2026-06-30 16:30:00,4.84,Hydro
2026-06-30 16:15:00,7.82,Self-consumption
2026-06-30 16:15:00,11.2,Photovoltaic
2026-06-30 16:15:00,0.56,Geothermal
2026-06-30 16:15:00,2.2,Wind
2026-06-30 16:15:00,24.32,Thermal
2026-06-30 16:15:00,4.76,Hydro
2026-06-30 16:00:00,8.06,Self-consumption
2026-06-30 16:00:00,11.96,Photovoltaic
2026-06-30 16:00:00,0.56,Geothermal
2026-06-30 16:00:00,2.4,Wind
2026-06-30 16:00:00,23.56,Thermal
2026-06-30 16:00:00,4.64,Hydro
2026-06-30 15:45:00,8.384,Self-consumption
2026-06-30 15:45:00,12.48,Photovoltaic
2026-06-30 15:45:00,0.56,Geothermal
2026-06-30 15:45:00,2.48,Wind
2026-06-30 15:45:00,23.4,Thermal
2026-06-30 15:45:00,3.96,Hydro
2026-06-30 15:30:00,22.84,Thermal
2026-06-30 15:30:00,2.48,Wind
2026-06-30 15:30:00,0.56,Geothermal
2026-06-30 15:30:00,13.08,Photovoltaic
2026-06-30 15:30:00,8.688,Self-consumption
2026-06-30 15:30:00,3.88,Hydro
2026-06-30 15:15:00,3.84,Hydro
2026-06-30 15:15:00,8.784,Self-consumption
2026-06-30 15:15:00,13.36,Photovoltaic
2026-06-30 15:15:00,0.56,Geothermal
2026-06-30 15:15:00,22.6,Thermal
2026-06-30 15:15:00,2.48,Wind
2026-06-30 15:00:00,22.04,Thermal
2026-06-30 15:00:00,2.4,Wind
2026-06-30 15:00:00,0.56,Geothermal
2026-06-30 15:00:00,13.36,Photovoltaic
2026-06-30 15:00:00,8.68,Self-consumption
2026-06-30 15:00:00,3.84,Hydro
2026-06-30 14:45:00,2.24,Wind
2026-06-30 14:45:00,0.56,Geothermal
2026-06-30 14:45:00,13.6,Photovoltaic
2026-06-30 14:45:00,8.744,Self-consumption
2026-06-30 14:45:00,3.6,Hydro
2026-06-30 14:45:00,21.4,Thermal
2026-06-30 14:30:00,20.88,Thermal
2026-06-30 14:30:00,2.28,Wind
2026-06-30 14:30:00,0.56,Geothermal
2026-06-30 14:30:00,14.28,Photovoltaic
2026-06-30 14:30:00,8.916,Self-consumption
2026-06-30 14:30:00,3.6,Hydro
2026-06-30 14:15:00,9.2,Self-consumption
2026-06-30 14:15:00,14.88,Photovoltaic
2026-06-30 14:15:00,0.56,Geothermal
2026-06-30 14:15:00,2.24,Wind
2026-06-30 14:15:00,20.72,Thermal
2026-06-30 14:15:00,3.64,Hydro
2026-06-30 14:00:00,9.244,Self-consumption
2026-06-30 14:00:00,15.32,Photovoltaic
2026-06-30 14:00:00,0.56,Geothermal
2026-06-30 14:00:00,2.24,Wind
