assets_concerned,asset_type,voltage_kv_raw,daily_restoring_raw,reason,source_file,start_datetime,stop_datetime,voltage_kv,daily_restoring,duration_hours
Linea F02FS CARRITO - FS AVEZZANO,LIN,70 kV,N,Guasto,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2013-01-01,2026-12-31,70.0,False,122688.0
S/E Savona - TR 5 220/15 kV,TRF,220 kV,N,Interferenza Lavori,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2015-02-06,2026-12-31,220.0,False,104304.0
MONSAMPOLO STL DISPONIBILE (EX T. ABRUZZ. CESSATA  2009),STL,132 kV,N,Altre di manutenzioni,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2016-07-28,2026-12-31,132.0,False,91392.0
Colmata-ISE Pimobino,LIN,132 kV,N,Interferenza Linea,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2018-11-22,2026-12-31,132.0,False,71064.0
LINEA 535 CP BOVISIO - NYLSTAR ALL,LIN,132 kV,N,Interferenza Lavori,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2019-02-05,2027-12-31,132.0,False,78024.0
Linea 112 cp Bagnolo Mella-cs Italghisa,LIN,132 kV,N,Altre di Manutenzione,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2019-03-06,2027-12-31,132.0,False,77328.0
S/E Sulcis - Condensatore 1 80MVAr 220kV,RIF,220 kV,N,Altre di sviluppo,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2019-06-03,2026-12-31,220.0,False,66432.0
S/E Sulcis - Condensatore 2 40MVAr 220kV,RIF,220 kV,N,Altre di sviluppo,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2019-06-03,2026-12-31,220.0,False,66432.0
S/E Rogoredo RT - stl M11 S/E Voghera RT,STL,70 kV,N,Altre di Rinnovo,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2019-12-20,2038-07-07,70.0,False,162576.0
S.STEFANO FS Stl 150 kV  S.STEF.C.,STL,150 kV,N,Guasto,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2020-01-01,2027-01-01,150.0,False,61368.0
L524 Acicastello-Fontanar.RT-Acireale RT,LIN,150 kV,N,Riparazione morsetteria,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2020-02-07,2026-12-31,150.0,False,60456.0
Lin M11 Rogoredo RT-Voghera RT\1,LIN,70 kV,N,Interferenza Linea,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2020-02-21,2027-12-31,70.0,False,68880.0
Linea 260 Brindisi - Brindisi T 1,LIN,220 kV,N,Altre di Manutenzione,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2020-06-01,2050-12-31,220.0,False,268080.0
SSE Carrito RT - stl F02 Avezzano RT,STL,70 kV,N,Altre di sviluppo,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2020-07-21,2026-06-30,70.0,False,52080.0
CALATABIANO FS Stl 150 kV  CP MASCALI,STL,150 kV,N,Guasto,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2020-08-01,2026-12-31,150.0,False,56232.0
S/E PADRICIANO - MACCHINA PST 274,STT,220 kV,N,Guasto,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2020-11-23,2026-12-31,220.0,False,53496.0
S/E Vado L. - stl DESOLFORATORE 4,STT,132 kV,N,Controlli Tecnici Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2020-12-02,2026-12-31,132.0,False,53280.0
Linea 118 trc allacc. Bredina-Cl.Bredina,TRC,132 kV,N,Altre di Manutenzione,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2020-12-21,2027-12-31,132.0,False,61584.0
SE PISTOIA RT - Sbarra A 132 kV,SBA,132 kV,N,Altre di sviluppo,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2021-02-04,2026-12-31,132.0,False,51744.0
SE Pistoia RT - stl 464 Ciliegiole,STL,132 kV,N,Altre di sviluppo,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2021-02-04,2026-12-31,132.0,False,51744.0
Linea 219 Bussolengo SS  -  Ferrara,LIN,220 kV,N,Altre di Manutenzione,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2021-05-18,2026-12-31,220.0,False,49272.0
Linea 330  Piombino - Suvereto,LIN,400 kV,N,Altre di Manutenzione,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2021-09-23,2026-12-31,400.0,False,46200.0
Linea 330  Piombino - Suvereto,LIN,400 kV,N,Altre di Manutenzione,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2021-09-24,2026-12-31,400.0,False,46176.0
Linea 331  Piombino - Suvereto,LIN,400 kV,N,Altre di Manutenzione,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2021-09-24,2026-12-31,400.0,False,46176.0
Linea 584 Suvereto - Piombino,LIN,132 kV,N,Altre di Manutenzione,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2021-09-24,2026-12-31,132.0,False,46176.0
SSE Voghera RT-stl M12 pari Tortona,STL,70 kV,N,Guasto,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2022-02-13,2027-12-31,70.0,False,51528.0
Linea 200 Maddaloni - Maddaloni Turb. 1,LIN,220 kV,N,Interferenza Linea,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2022-06-20,2026-12-31,220.0,False,39720.0
Linea 201 Maddaloni - Maddaloni Turb. 2,LIN,220 kV,N,Interferenza Linea,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2022-06-20,2026-12-31,220.0,False,39720.0
SSE Albenga  RT - stl G18 Terragne RT,STL,70 kV,N,Guasto,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2023-04-06,2026-12-31,70.0,False,32760.0
CP ROSCIANO STL CHIETI ZI,STL,150 kV,N,Altre di manutenzioni,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2023-06-06,2026-06-30,150.0,False,26880.0
S/E Novara Sud - Condensatore 132 kV,RIF,132 kV,N,Guasto,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2023-06-27,2026-12-30,132.0,False,30768.0
S/E Suvereto - stl 330  Piombino,STL,400 kV,N,Sostituzione Apparecchiatura AT,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2023-07-04,2026-12-31,400.0,False,30624.0
Linea 952 S/E LaSpezia-C.le LaSpezia III,LIN,400 kV,N,Altre di manutenzioni,20260306-4_2_2a - Planned outages in the transmission grid and on interconnections.xlsx,2023-07-25,2026-12-31,400.0,False,30120.0
