region,plant_type,source,connection_status,power_mw,num_requests
PUGLIA,FER,Solare,Progetti con nulla osta,17330.55864,410
PUGLIA,FER,Eolico on-shore,Progetti con nulla osta,13770.327,243
PUGLIA,FER,Eolico off-shore,STMG accettate,13513.0,16
SICILIA,FER,Solare,Progetti con nulla osta,12646.42329,229
SICILIA,FER,Eolico off-shore,STMG accettate,12265.75,15
SICILIA,FER,Solare,STMG accettate,10550.97092,246
PUGLIA,FER,Solare,STMG accettate,9250.85494,223
PUGLIA,FER,Eolico on-shore,STMG accettate,8411.99,164
SARDEGNA,FER,Eolico on-shore,STMG accettate,6731.145,97
SARDEGNA,FER,Eolico off-shore,STMG accettate,6684.0,14
SICILIA,FER,Eolico on-shore,STMG accettate,6223.11,114
SICILIA,FER,Solare,Progetti in valutazione,6080.85334,142
SARDEGNA,FER,Solare,STMG accettate,5915.27464,159
SARDEGNA,FER,Solare,Progetti con nulla osta,5742.62132,128
PUGLIA,FER,Eolico on-shore,Progetti in valutazione,5490.305,85
SARDEGNA,FER,Eolico off-shore,STMG da accettare,5295.0,5
SICILIA,FER,Eolico on-shore,Progetti con nulla osta,5020.15,106
PUGLIA,FER,Solare,Progetti in valutazione,4914.73454,101
SICILIA,FER,Solare,STMD/Contratti,4497.2686,68
BASILICATA,FER,Solare,STMG accettate,4195.01161,195
SICILIA,FER,Eolico off-shore,Progetti in valutazione,4183.25,6
SARDEGNA,FER,Eolico on-shore,Progetti con nulla osta,4152.325,67
BASILICATA,FER,Eolico on-shore,STMG accettate,4053.2,82
PUGLIA,FER,Eolico on-shore,STMG da accettare,3719.36,79
PUGLIA,FER,Eolico off-shore,Progetti in valutazione,3634.0,5
BASILICATA,FER,Eolico on-shore,Progetti con nulla osta,3591.49,79
CALABRIA,FER,Eolico on-shore,STMG accettate,3373.294,60
PUGLIA,FER,Eolico off-shore,Progetti con nulla osta,3312.0,7
CAMPANIA,FER,Eolico on-shore,STMG accettate,3282.44,84
BASILICATA,FER,Solare,Progetti con nulla osta,3281.60195,165
SICILIA,FER,Eolico on-shore,Progetti in valutazione,3177.5,58
PUGLIA,FER,Eolico off-shore,STMG da accettare,3120.0,4
SARDEGNA,FER,Solare,Progetti in valutazione,2892.38224,70
VENETO,FER,Solare,STMG accettate,2679.65078,60
CAMPANIA,FER,Eolico on-shore,Progetti con nulla osta,2588.0,61
SICILIA,FER,Solare,STMG da accettare,2579.8722,59
LAZIO,FER,Eolico off-shore,STMG accettate,2450.0,5
BASILICATA,FER,Eolico on-shore,Progetti in valutazione,2429.2,49
